    DATE;   TG
17560101;-87
17560102;-92
17560103;-86
17560104;-77
17560105;-72
17560106;-16
17560107;7
17560108;13
17560109;24
17560110;8
17560111;6
17560112;43
17560113;-2
17560114;-7
17560115;-57
17560116;-62
17560117;-100
17560118;-115
17560119;-62
17560120;8
17560121;18
17560122;-47
17560123;-47
17560124;5
17560125;-4
17560126;-10
17560127;-68
17560128;-30
17560129;13
17560130;38
17560131;48
17560201;3
17560202;-42
17560203;-43
17560204;-33
17560205;-12
17560206;5
17560207;33
17560208;8
17560209;-10
17560210;-6
17560211;3
17560212;-8
17560213;23
17560214;-23
17560215;-2
17560216;-2
17560217;-3
17560218;-18
17560219;-22
17560220;-43
17560221;57
17560222;68
17560223;17
17560224;-28
17560225;-48
17560226;-38
17560227;-37
17560228;-34
17560229;7
17560301;-62
17560302;-52
17560303;-1
17560304;4
17560305;-10
17560306;38
17560307;28
17560308;39
17560309;44
17560310;-1
17560311;-36
17560312;-11
17560313;-16
17560314;-31
17560315;-21
17560316;17
17560317;-11
17560318;25
17560319;54
17560320;50
17560321;22
17560322;-1
17560323;-23
17560324;-45
17560325;-55
17560326;-13
17560327;0
17560328;-38
17560329;-35
17560330;-40
17560331;-15
17560401;2
17560402;-30
17560403;-13
17560404;-32
17560405;-35
17560406;-24
17560407;-2
17560408;-18
17560409;-2
17560410;-9
17560411;37
17560412;23
17560413;20
17560414;47
17560415;12
17560416;5
17560417;8
17560418;14
17560419;25
17560420;21
17560421;-9
17560422;21
17560423;-4
17560424;13
17560425;33
17560426;38
17560427;11
17560428;39
17560429;9
17560430;5
17560501;1
17560502;15
17560503;29
17560504;21
17560505;41
17560506;27
17560507;36
17560508;45
17560509;84
17560510;96
17560511;25
17560512;31
17560513;60
17560514;53
17560515;17
17560516;38
17560517;56
17560518;69
17560519;81
17560520;106
17560521;120
17560522;81
17560523;70
17560524;53
17560525;49
17560526;90
17560527;44
17560528;43
17560529;33
17560530;49
17560531;63
17560601;110
17560602;115
17560603;124
17560604;163
17560605;158
17560606;150
17560607;140
17560608;117
17560609;150
17560610;128
17560611;117
17560612;113
17560613;109
17560614;129
17560615;138
17560616;171
17560617;176
17560618;193
17560619;203
17560620;213
17560621;208
17560622;163
17560623;170
17560624;127
17560625;161
17560626;180
17560627;159
17560628;153
17560629;169
17560630;166
17560701;148
17560702;93
17560703;83
17560704;92
17560705;109
17560706;116
17560707;119
17560708;129
17560709;151
17560710;129
17560711;149
17560712;209
17560713;182
17560714;204
17560715;228
17560716;217
17560717;237
17560718;234
17560719;234
17560720;230
17560721;183
17560722;164
17560723;164
17560724;173
17560725;140
17560726;160
17560727;152
17560728;181
17560729;162
17560730;156
17560731;157
17560801;106
17560802;115
17560803;91
17560804;118
17560805;133
17560806;107
17560807;112
17560808;128
17560809;129
17560810;119
17560811;107
17560812;126
17560813;145
17560814;138
17560815;151
17560816;147
17560817;136
17560818;112
17560819;94
17560820;121
17560821;132
17560822;113
17560823;146
17560824;131
17560825;127
17560826;160
17560827;153
17560828;157
17560829;133
17560830;148
17560831;136
17560901;116
17560902;116
17560903;139
17560904;139
17560905;133
17560906;122
17560907;100
17560908;97
17560909;145
17560910;144
17560911;143
17560912;109
17560913;93
17560914;67
17560915;82
17560916;70
17560917;86
17560918;88
17560919;80
17560920;71
17560921;91
17560922;106
17560923;95
17560924;109
17560925;132
17560926;135
17560927;122
17560928;102
17560929;103
17560930;85
17561001;47
17561002;80
17561003;105
17561004;121
17561005;76
17561006;76
17561007;50
17561008;63
17561009;43
17561010;68
17561011;49
17561012;88
17561013;90
17561014;78
17561015;48
17561016;82
17561017;55
17561018;62
17561019;30
17561020;26
17561021;19
17561022;37
17561023;43
17561024;25
17561025;21
17561026;33
17561027;35
17561028;27
17561029;66
17561030;50
17561031;45
17561101;38
17561102;-3
17561103;75
17561104;78
17561105;-23
17561106;33
17561107;-8
17561108;-17
17561109;23
17561110;28
17561111;27
17561112;13
17561113;-2
17561114;16
17561115;51
17561116;43
17561117;33
17561118;-32
17561119;-92
17561120;-92
17561121;-95
17561122;-112
17561123;-87
17561124;-75
17561125;-77
17561126;-37
17561127;-47
17561128;-57
17561129;-67
17561130;-33
17561201;24
17561202;11
17561203;-6
17561204;-62
17561205;-51
17561206;-22
17561207;-46
17561208;-56
17561209;-19
17561210;-17
17561211;-36
17561212;9
17561213;1
17561214;1
17561215;-16
17561216;-1
17561217;-21
17561218;14
17561219;-3
17561220;-16
17561221;-14
17561222;-26
17561223;-16
17561224;-14
17561225;-11
17561226;-41
17561227;-97
17561228;-104
17561229;-21
17561230;-41
17561231;-37
17570101;-37
17570102;-72
17570103;-57
17570104;-56
17570105;-52
